//X;Y;Z;Rf;Gf;Bf;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump11;Stump112
8776
445625.17490204;5696599.83569916;472.71114971;0.615686;0.584314;0.54902;38550.000000;1.000000;1.000000;1.000000;1.000000;0.110671;-0.110671;0.110671;1.000000;1.000000
445625.19530113;5696599.75210007;472.70874979;0.658824;0.631373;0.580392;41377.000000;1.000000;1.000000;1.000000;1.000000;-0.152346;0.152346;-0.152346;1.000000;1.000000
445625.18260201;5696599.81640060;472.70895006;0.690196;0.670588;0.635294;43947.000000;1.000000;1.000000;1.000000;1.000000;-0.119004;0.119004;-0.119004;1.000000;1.000000
445625.06490143;5696599.76629837;472.72634985;0.678431;0.647059;0.6;42662.000000;1.000000;1.000000;1.000000;1.000000;-0.063704;0.063704;-0.063704;1.000000;1.000000
445625.13470085;5696599.86030014;472.72125008;0.862745;0.843137;0.8;55255.000000;1.000000;1.000000;1.000000;1.000000;0.076573;-0.076573;0.076573;1.000000;1.000000
445625.17260178;5696599.86389740;472.71834995;0.611765;0.580392;0.537255;38293.000000;1.000000;1.000000;1.000000;1.000000;0.113409;-0.113409;0.113409;1.000000;1.000000
445625.13620193;5696599.82519730;472.71854975;0.552941;0.517647;0.47451;34181.000000;1.000000;1.000000;1.000000;1.000000;-0.071985;0.071985;-0.071985;1.000000;1.000000
445625.19820221;5696599.70749863;472.70604994;0.572549;0.564706;0.529412;36751.000000;1.000000;1.000000;1.000000;1.000000;-0.181427;0.181427;-0.181427;1.000000;1.000000
445625.12280090;5696599.73069962;472.71684982;0.6;0.580392;0.541176;38036.000000;1.000000;1.000000;1.000000;1.000000;-0.115212;0.115212;-0.115212;1.000000;1.000000
445625.08670242;5696599.90649994;472.74064972;0.647059;0.623529;0.615686;41120.000000;1.000000;1.000000;1.000000;1.000000;0.079691;-0.079691;0.079691;1.000000;1.000000
445625.08800133;5696599.86910065;472.73784973;0.92549;0.905882;0.890196;59624.000000;1.000000;1.000000;1.000000;1.000000;0.045683;-0.045683;0.045683;1.000000;1.000000
445625.05300148;5696599.79289825;472.73544981;0.654902;0.611765;0.560784;40349.000000;1.000000;1.000000;1.000000;1.000000;0.037102;-0.037102;0.037102;1.000000;1.000000
445625.04430206;5696599.77509888;472.73474981;0.784314;0.74902;0.698039;49344.000000;1.000000;1.000000;1.000000;1.000000;0.054901;-0.054901;0.054901;1.000000;1.000000
445625.15350159;5696599.86089905;472.71974995;0.639216;0.611765;0.568627;40092.000000;1.000000;1.000000;1.000000;1.000000;0.094329;-0.094329;0.094329;1.000000;1.000000
445625.23130234;5696599.79070099;472.71544983;0.780392;0.764706;0.733333;50115.000000;1.000000;1.000000;1.000000;1.000000;-0.171489;0.171489;-0.171489;1.000000;1.000000
445625.18320091;5696599.79759796;472.70874979;0.572549;0.54902;0.513725;35980.000000;1.000000;1.000000;1.000000;1.000000;-0.123162;0.123162;-0.123162;1.000000;1.000000
445625.25840195;5696599.80229767;472.70984985;0.533333;0.52549;0.490196;34181.000000;1.000000;1.000000;1.000000;1.000000;-0.195992;0.195992;-0.195992;1.000000;1.000000
445625.04800232;5696599.70719727;472.72015001;0.419608;0.388235;0.352941;25700.000000;1.000000;1.000000;1.000000;1.000000;0.122803;-0.122803;0.122803;1.000000;1.000000
445625.08580215;5696599.71079834;472.71724989;0.556863;0.537255;0.498039;35209.000000;1.000000;1.000000;1.000000;1.000000;-0.121112;0.121112;-0.121112;1.000000;1.000000
445625.14920242;5696599.76099976;472.71145012;0.568627;0.545098;0.494118;35723.000000;1.000000;1.000000;1.000000;1.000000;-0.109345;0.109345;-0.109345;1.000000;1.000000
445625.12350090;5696599.71199997;472.71434977;0.647059;0.631373;0.592157;41377.000000;1.000000;1.000000;1.000000;1.000000;-0.131983;0.131983;-0.131983;1.000000;1.000000
445625.15250214;5696599.72099884;472.71105005;0.498039;0.486275;0.443137;31611.000000;1.000000;1.000000;1.000000;1.000000;-0.140169;0.140169;-0.140169;1.000000;1.000000
445625.00140198;5696599.71599777;472.73444988;0.341176;0.301961;0.25098;20046.000000;1.000000;1.000000;1.000000;1.000000;-0.114002;0.114002;-0.114002;1.000000;1.000000
445625.20560081;5696599.76280029;472.70935013;0.435294;0.403922;0.356863;26728.000000;1.000000;1.000000;1.000000;1.000000;-0.156396;0.156396;-0.156396;1.000000;1.000000
445625.20680244;5696599.72540100;472.70895006;0.54902;0.533333;0.490196;34695.000000;1.000000;1.000000;1.000000;1.000000;-0.176708;0.176708;-0.176708;1.000000;1.000000
445625.05960091;5696599.89489944;472.74854996;0.533333;0.517647;0.513725;34181.000000;1.000000;1.000000;1.000000;1.000000;0.064899;-0.064899;0.064899;1.000000;1.000000
445625.06080063;5696599.85740097;472.74814989;0.784314;0.768627;0.756863;50372.000000;1.000000;1.000000;1.000000;1.000000;0.027401;-0.027401;0.027401;1.000000;1.000000
445625.21160133;5696599.82769974;472.71035006;0.278431;0.25098;0.223529;16705.000000;1.000000;1.000000;1.000000;1.000000;-0.147242;0.147242;-0.147242;1.000000;1.000000
445625.08800133;5696599.63569839;472.72114994;0.627451;0.596078;0.54902;39321.000000;1.000000;1.000000;1.000000;1.000000;-0.195732;0.195732;-0.195732;1.000000;1.000000
445625.15200241;5696599.66729935;472.71504976;0.294118;0.27451;0.235294;17990.000000;1.000000;1.000000;1.000000;1.000000;-0.184796;0.184796;-0.184796;1.000000;1.000000
445625.13750084;5696599.78769882;472.71584990;0.690196;0.666667;0.627451;43690.000000;1.000000;1.000000;1.000000;1.000000;-0.084477;0.084477;-0.084477;1.000000;1.000000
445625.21490105;5696599.78989990;472.71474983;0.580392;0.556863;0.521569;36494.000000;1.000000;1.000000;1.000000;1.000000;-0.155774;0.155774;-0.155774;1.000000;1.000000
445625.09050186;5696599.84099777;472.72835018;0.807843;0.784314;0.745098;51400.000000;1.000000;1.000000;1.000000;1.000000;0.028345;-0.028345;0.028345;1.000000;1.000000
445625.06700142;5696599.71010025;472.71875002;0.658824;0.631373;0.592157;41634.000000;1.000000;1.000000;1.000000;1.000000;-0.119928;0.119928;-0.119928;1.000000;1.000000
445625.14220245;5696599.71259888;472.71514990;0.580392;0.564706;0.533333;37008.000000;1.000000;1.000000;1.000000;1.000000;-0.140854;0.140854;-0.140854;1.000000;1.000000
445625.10460098;5696599.71139725;472.71584990;0.513725;0.498039;0.458824;32639.000000;1.000000;1.000000;1.000000;1.000000;-0.125238;0.125238;-0.125238;1.000000;1.000000
445625.05530174;5696599.76479919;472.72814991;0.733333;0.701961;0.65098;46003.000000;1.000000;1.000000;1.000000;1.000000;0.065201;-0.065201;0.065201;1.000000;1.000000
445625.16310127;5696599.86239822;472.71794989;0.580392;0.552941;0.509804;36237.000000;1.000000;1.000000;1.000000;1.000000;0.103904;-0.103904;0.103904;1.000000;1.000000
445625.12890060;5696599.82349976;472.72055008;0.521569;0.486275;0.439216;32125.000000;1.000000;1.000000;1.000000;1.000000;-0.064850;0.064850;-0.064850;1.000000;1.000000
445625.12800224;5696599.78629883;472.71544983;0.843137;0.819608;0.776471;53713.000000;1.000000;1.000000;1.000000;1.000000;-0.077188;0.077188;-0.077188;1.000000;1.000000
445625.05740173;5696599.70870026;472.72064974;0.541176;0.513725;0.47451;33924.000000;1.000000;1.000000;1.000000;1.000000;-0.121300;0.121300;-0.121300;1.000000;1.000000
445625.12460144;5696599.87990006;472.72574999;0.878431;0.854902;0.823529;56026.000000;1.000000;1.000000;1.000000;1.000000;0.078211;-0.078211;0.078211;1.000000;1.000000
445625.16220100;5696599.88109787;472.72504999;0.572549;0.533333;0.498039;35466.000000;1.000000;1.000000;1.000000;1.000000;0.110365;-0.110365;0.110365;1.000000;1.000000
445625.08960159;5696599.80369766;472.72324993;0.611765;0.572549;0.517647;37779.000000;1.000000;1.000000;1.000000;1.000000;-0.036443;0.036443;-0.036443;1.000000;1.000000
445625.22950180;5696599.81899841;472.71105005;0.294118;0.278431;0.247059;18247.000000;1.000000;1.000000;1.000000;1.000000;-0.165491;0.165491;-0.165491;1.000000;1.000000
445625.06920250;5696599.63509949;472.72265007;0.556863;0.529412;0.482353;34695.000000;1.000000;1.000000;1.000000;1.000000;-0.194960;0.194960;-0.194960;1.000000;1.000000
445625.10220154;5696599.78629883;472.71894981;0.572549;0.541176;0.478431;35466.000000;1.000000;1.000000;1.000000;1.000000;-0.057797;0.057797;-0.057797;1.000000;1.000000
445625.12390144;5696599.89859970;472.72825005;0.870588;0.843137;0.815686;55512.000000;1.000000;1.000000;1.000000;1.000000;0.090824;-0.090824;0.090824;1.000000;1.000000
445625.16150101;5696599.89979752;472.72765018;0.52549;0.482353;0.447059;32125.000000;1.000000;1.000000;1.000000;1.000000;0.119602;-0.119602;0.119602;1.000000;1.000000
445625.12530144;5696599.86120041;472.72314980;0.811765;0.792157;0.756863;51914.000000;1.000000;1.000000;1.000000;1.000000;0.068449;-0.068449;0.068449;1.000000;1.000000
445625.09120186;5696599.82219894;472.72585012;0.592157;0.560784;0.509804;36751.000000;1.000000;1.000000;1.000000;1.000000;-0.027936;0.027936;-0.027936;1.000000;1.000000
445625.10060127;5696599.79569824;472.72125008;0.631373;0.596078;0.537255;39321.000000;1.000000;1.000000;1.000000;1.000000;-0.049888;0.049888;-0.049888;1.000000;1.000000
445625.13840111;5696599.79699905;472.71604969;0.541176;0.521569;0.47451;34181.000000;1.000000;1.000000;1.000000;1.000000;-0.081047;0.081047;-0.081047;1.000000;1.000000
445625.10200127;5696599.75829895;472.71624996;0.611765;0.580392;0.533333;38293.000000;1.000000;1.000000;1.000000;1.000000;-0.080973;0.080973;-0.080973;1.000000;1.000000
445625.13950165;5696599.75950058;472.71565010;0.611765;0.592157;0.54902;38807.000000;1.000000;1.000000;1.000000;1.000000;-0.103023;0.103023;-0.103023;1.000000;1.000000
445625.06890114;5696599.68189819;472.72085001;0.4;0.384314;0.345098;25186.000000;1.000000;1.000000;1.000000;1.000000;-0.148171;0.148171;-0.148171;1.000000;1.000000
445625.10440071;5696599.68339737;472.71544983;0.537255;0.517647;0.478431;33924.000000;1.000000;1.000000;1.000000;1.000000;-0.151968;0.151968;-0.151968;1.000000;1.000000
445625.06570061;5696599.74759872;472.72144987;0.733333;0.694118;0.639216;45746.000000;1.000000;1.000000;1.000000;1.000000;-0.082412;0.082412;-0.082412;1.000000;1.000000
445625.10350235;5696599.74880035;472.71614983;0.545098;0.517647;0.47451;33924.000000;1.000000;1.000000;1.000000;1.000000;-0.090134;0.090134;-0.090134;1.000000;1.000000
445625.19540222;5696599.78009995;472.71145012;0.376471;0.34902;0.305882;22873.000000;1.000000;1.000000;1.000000;1.000000;-0.140205;0.140205;-0.140205;1.000000;1.000000
445625.10920151;5696599.78569992;472.71684982;0.635294;0.607843;0.556863;39835.000000;1.000000;1.000000;1.000000;1.000000;-0.063021;0.063021;-0.063021;1.000000;1.000000
445625.14710243;5696599.78919800;472.71394970;0.501961;0.482353;0.439216;31611.000000;1.000000;1.000000;1.000000;1.000000;-0.092240;0.092240;-0.092240;1.000000;1.000000
445625.15560158;5696599.77910049;472.71194984;0.588235;0.568627;0.521569;37265.000000;1.000000;1.000000;1.000000;1.000000;-0.104463;0.104463;-0.104463;1.000000;1.000000
445625.23070152;5696599.78149994;472.71064999;0.85098;0.831373;0.788235;54484.000000;1.000000;1.000000;1.000000;1.000000;-0.173251;0.173251;-0.173251;1.000000;1.000000
445625.14100082;5696599.74999817;472.71554996;0.572549;0.552941;0.509804;36237.000000;1.000000;1.000000;1.000000;1.000000;-0.110777;0.110777;-0.110777;1.000000;1.000000
445625.07510193;5696599.74679764;472.71955015;0.67451;0.639216;0.584314;42148.000000;1.000000;1.000000;1.000000;1.000000;-0.083891;0.083891;-0.083891;1.000000;1.000000
445625.11270149;5696599.74799927;472.71665003;0.568627;0.537255;0.490196;35466.000000;1.000000;1.000000;1.000000;1.000000;-0.095181;0.095181;-0.095181;1.000000;1.000000
445625.14790161;5696599.74939926;472.71584990;0.517647;0.498039;0.458824;32639.000000;1.000000;1.000000;1.000000;1.000000;-0.116072;0.116072;-0.116072;1.000000;1.000000
445625.03870209;5696599.70809753;472.71974995;0.360784;0.333333;0.290196;21845.000000;1.000000;1.000000;1.000000;1.000000;0.121902;-0.121902;0.121902;1.000000;1.000000
445625.07920082;5696599.84889801;472.73495008;0.909804;0.890196;0.866667;58339.000000;1.000000;1.000000;1.000000;1.000000;0.024018;-0.024018;0.024018;1.000000;1.000000
445625.04730232;5696599.80969818;472.74004986;0.815686;0.788235;0.752941;51914.000000;1.000000;1.000000;1.000000;1.000000;0.020302;-0.020302;0.020302;1.000000;1.000000
445625.01030167;5696599.73620041;472.73514988;0.576471;0.537255;0.478431;35466.000000;1.000000;1.000000;1.000000;1.000000;0.093800;-0.093800;0.093800;1.000000;1.000000
445625.15440186;5696599.87249954;472.72464993;0.611765;0.584314;0.545098;38293.000000;1.000000;1.000000;1.000000;1.000000;0.099552;-0.099552;0.099552;1.000000;1.000000
445625.11660202;5696599.86889847;472.72524979;0.835294;0.815686;0.788235;53456.000000;1.000000;1.000000;1.000000;1.000000;0.065119;-0.065119;0.065119;1.000000;1.000000
445625.08010109;5696599.83019836;472.73005011;0.760784;0.733333;0.694118;48316.000000;1.000000;1.000000;1.000000;1.000000;0.015725;-0.015725;0.015725;1.000000;1.000000
445625.06810196;5696599.67259796;472.72064974;0.329412;0.313725;0.27451;20560.000000;1.000000;1.000000;1.000000;1.000000;-0.157446;0.157446;-0.157446;1.000000;1.000000
445625.10570152;5696599.67389877;472.71775009;0.545098;0.52549;0.486275;34438.000000;1.000000;1.000000;1.000000;1.000000;-0.161478;0.161478;-0.161478;1.000000;1.000000
445625.07040222;5696599.85890015;472.74394991;0.854902;0.839216;0.823529;54998.000000;1.000000;1.000000;1.000000;1.000000;0.029521;-0.029521;0.029521;1.000000;1.000000
445625.22090157;5696599.82679947;472.71075012;0.243137;0.223529;0.192157;14649.000000;1.000000;1.000000;1.000000;1.000000;-0.156557;0.156557;-0.156557;1.000000;1.000000
445625.25850113;5696599.82799728;472.70785000;0.811765;0.803922;0.776471;52428.000000;1.000000;1.000000;1.000000;1.000000;-0.194134;0.194134;-0.194134;1.000000;1.000000
445625.18480118;5696599.79049881;472.70874979;0.498039;0.470588;0.423529;30840.000000;1.000000;1.000000;1.000000;1.000000;-0.126737;0.126737;-0.126737;1.000000;1.000000
445625.25980194;5696599.79279907;472.70984985;0.462745;0.454902;0.419608;29555.000000;1.000000;1.000000;1.000000;1.000000;-0.198934;0.198934;-0.198934;1.000000;1.000000
445625.15190132;5696599.71409805;472.71094992;0.596078;0.588235;0.552941;38293.000000;1.000000;1.000000;1.000000;1.000000;-0.145237;0.145237;-0.145237;1.000000;1.000000
445625.14340218;5696599.67510040;472.71474983;0.372549;0.356863;0.321569;23387.000000;1.000000;1.000000;1.000000;1.000000;-0.173893;0.173893;-0.173893;1.000000;1.000000
445625.07770164;5696599.86059769;472.74195005;0.886275;0.862745;0.847059;56797.000000;1.000000;1.000000;1.000000;1.000000;0.033373;-0.033373;0.033373;1.000000;1.000000
445625.23040207;5696599.82829865;472.70895006;0.235294;0.219608;0.192157;14392.000000;1.000000;1.000000;1.000000;1.000000;-0.166033;0.166033;-0.166033;1.000000;1.000000
445625.15640076;5696599.78840073;472.71204998;0.537255;0.513725;0.47451;33667.000000;1.000000;1.000000;1.000000;1.000000;-0.100989;0.100989;-0.100989;1.000000;1.000000
445625.19400223;5696599.78959854;472.71145012;0.388235;0.364706;0.321569;23901.000000;1.000000;1.000000;1.000000;1.000000;-0.135775;0.135775;-0.135775;1.000000;1.000000
445625.15990074;5696599.75070007;472.71175005;0.505882;0.486275;0.439216;31868.000000;1.000000;1.000000;1.000000;1.000000;-0.124150;0.124150;-0.124150;1.000000;1.000000
445625.15910156;5696599.74139984;472.71164991;0.494118;0.47451;0.427451;31097.000000;1.000000;1.000000;1.000000;1.000000;-0.129702;0.129702;-0.129702;1.000000;1.000000
445625.23420151;5696599.74379929;472.71035006;0.580392;0.560784;0.513725;36751.000000;1.000000;1.000000;1.000000;1.000000;-0.190449;0.190449;-0.190449;1.000000;1.000000
445625.13410194;5696599.88130005;472.72615005;0.847059;0.823529;0.792157;53970.000000;1.000000;1.000000;1.000000;1.000000;0.086563;-0.086563;0.086563;1.000000;1.000000
445625.05470093;5696599.81149872;472.73574974;0.776471;0.74902;0.705882;49087.000000;1.000000;1.000000;1.000000;1.000000;0.018501;-0.018501;0.018501;1.000000;1.000000
445625.09750183;5696599.84029968;472.72634985;0.694118;0.662745;0.623529;43690.000000;1.000000;1.000000;1.000000;1.000000;0.034689;-0.034689;0.034689;1.000000;1.000000
445625.03470238;5696599.77580078;472.74134972;0.827451;0.8;0.74902;52428.000000;1.000000;1.000000;1.000000;1.000000;0.054199;-0.054199;0.054199;1.000000;1.000000
445625.22490128;5696599.74469955;472.70994999;0.658824;0.639216;0.592157;41891.000000;1.000000;1.000000;1.000000;1.000000;-0.181780;0.181780;-0.181780;1.000000;1.000000
445625.18880089;5696599.70609863;472.70554974;0.647059;0.639216;0.603922;41634.000000;1.000000;1.000000;1.000000;1.000000;-0.175593;0.175593;-0.175593;1.000000;1.000000
445625.07760246;5696599.67410095;472.71884968;0.329412;0.313725;0.27451;20560.000000;1.000000;1.000000;1.000000;1.000000;-0.156459;0.156459;-0.156459;1.000000;1.000000
445625.11530121;5696599.67529877;472.71584990;0.486275;0.470588;0.431373;30840.000000;1.000000;1.000000;1.000000;1.000000;-0.162867;0.162867;-0.162867;1.000000;1.000000
445625.08100136;5696599.63640030;472.72085001;0.611765;0.580392;0.533333;38293.000000;1.000000;1.000000;1.000000;1.000000;-0.194312;0.194312;-0.194312;1.000000;1.000000
445625.23880203;5696599.81819733;472.70914986;0.329412;0.309804;0.278431;20303.000000;1.000000;1.000000;1.000000;1.000000;-0.174824;0.174824;-0.174824;1.000000;1.000000
445625.24240120;5696599.78269775;472.71124985;0.788235;0.772549;0.733333;50629.000000;1.000000;1.000000;1.000000;1.000000;-0.184201;0.184201;-0.184201;1.000000;1.000000
445625.16840179;5696599.74059875;472.70974972;0.560784;0.541176;0.494118;35466.000000;1.000000;1.000000;1.000000;1.000000;-0.137163;0.137163;-0.137163;1.000000;1.000000
445625.24130066;5696599.74550064;472.71075012;0.505882;0.490196;0.439216;31868.000000;1.000000;1.000000;1.000000;1.000000;-0.196066;0.196066;-0.196066;1.000000;1.000000
445625.16980179;5696599.70540054;472.70935013;0.690196;0.682353;0.647059;44461.000000;1.000000;1.000000;1.000000;1.000000;-0.163216;0.163216;-0.163216;1.000000;1.000000
445625.06330116;5696599.80139740;472.73134996;0.631373;0.588235;0.537255;38807.000000;1.000000;1.000000;1.000000;1.000000;-0.028603;0.028603;-0.028603;1.000000;1.000000
445625.21330078;5696599.77139862;472.71215012;0.462745;0.435294;0.388235;28527.000000;1.000000;1.000000;1.000000;1.000000;-0.160038;0.160038;-0.160038;1.000000;1.000000
445625.10690125;5696599.63640030;472.71735003;0.478431;0.454902;0.4;29812.000000;1.000000;1.000000;1.000000;1.000000;-0.198215;0.198215;-0.198215;1.000000;1.000000
445625.12200172;5696599.72149857;472.71434977;0.619608;0.6;0.564706;39321.000000;1.000000;1.000000;1.000000;1.000000;-0.122854;0.122854;-0.122854;1.000000;1.000000
445625.03380211;5696599.79220016;472.74384977;0.666667;0.635294;0.588235;41891.000000;1.000000;1.000000;1.000000;1.000000;0.037800;-0.037800;0.037800;1.000000;1.000000
445625.02860077;5696599.72759827;472.72424986;0.505882;0.466667;0.415686;30840.000000;1.000000;1.000000;1.000000;1.000000;-0.102402;0.102402;-0.102402;1.000000;1.000000
445625.07590111;5696599.75599869;472.71964981;0.698039;0.662745;0.6;43433.000000;1.000000;1.000000;1.000000;1.000000;-0.074893;0.074893;-0.074893;1.000000;1.000000
445625.03960236;5696599.71729858;472.71994974;0.4;0.368627;0.317647;24158.000000;1.000000;1.000000;1.000000;1.000000;0.112701;-0.112701;0.112701;1.000000;1.000000
445625.21250160;5696599.76219757;472.70965006;0.435294;0.407843;0.360784;26728.000000;1.000000;1.000000;1.000000;1.000000;-0.162905;0.162905;-0.162905;1.000000;1.000000
445625.21370132;5696599.72469910;472.70924999;0.588235;0.572549;0.529412;37265.000000;1.000000;1.000000;1.000000;1.000000;-0.182718;0.182718;-0.182718;1.000000;1.000000
445625.19670113;5696599.74259766;472.70865013;0.756863;0.733333;0.686275;48059.000000;1.000000;1.000000;1.000000;1.000000;-0.158584;0.158584;-0.158584;1.000000;1.000000
445625.06860168;5696599.65389832;472.72284986;0.341176;0.321569;0.282353;21074.000000;1.000000;1.000000;1.000000;1.000000;-0.176152;0.176152;-0.176152;1.000000;1.000000
445625.17090233;5696599.66789825;472.71124985;0.32549;0.313725;0.27451;20303.000000;1.000000;1.000000;1.000000;1.000000;-0.193970;0.193970;-0.193970;1.000000;1.000000
