//X;Y;Z;Rf;Gf;Bf;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump129\
119
445601.63780125;5696587.78399857;474.16874983;0.627451;0.541176;0.45098;36494.000000;1.000000;1.000000;1.000000;1.000000;0.046001;-0.046001;0.046001;1.000000
445601.63440140;5696587.74919899;474.17285015;0.917647;0.882353;0.788235;57825.000000;1.000000;1.000000;1.000000;1.000000;0.080801;-0.080801;0.080801;1.000000
445601.65190132;5696587.78949936;474.17875006;0.635294;0.560784;0.462745;37265.000000;1.000000;1.000000;1.000000;1.000000;0.040503;-0.040503;0.040503;1.000000
445601.66280182;5696587.78599937;474.18855001;0.792157;0.72549;0.623529;48059.000000;1.000000;1.000000;1.000000;1.000000;0.044001;-0.044001;0.044001;1.000000
445601.62970169;5696587.77299889;474.17054989;0.6;0.52549;0.431373;35209.000000;1.000000;1.000000;1.000000;1.000000;0.057001;-0.057001;0.057001;1.000000
445601.61980160;5696587.76239975;474.16064980;0.694118;0.647059;0.545098;42405.000000;1.000000;1.000000;1.000000;1.000000;0.067600;-0.067600;0.067600;1.000000
445601.62890156;5696587.76379974;474.16804983;0.690196;0.639216;0.541176;42148.000000;1.000000;1.000000;1.000000;1.000000;0.066200;-0.066200;0.066200;1.000000
445601.60690125;5696587.81979950;474.14914991;0.721569;0.670588;0.560784;43947.000000;1.000000;1.000000;1.000000;1.000000;0.010201;-0.010201;0.010201;1.000000
445601.59920128;5696587.78559883;474.14605000;0.694118;0.65098;0.54902;42662.000000;1.000000;1.000000;1.000000;1.000000;0.044401;-0.044401;0.044401;1.000000
445601.64460190;5696587.78329857;474.17135002;0.694118;0.607843;0.517647;40863.000000;1.000000;1.000000;1.000000;1.000000;0.046701;-0.046701;0.046701;1.000000
445601.62400158;5696587.80639847;474.15905001;0.6;0.533333;0.435294;35466.000000;1.000000;1.000000;1.000000;1.000000;0.023776;-0.023776;0.023776;1.000000
445601.60690125;5696587.81979950;474.14914991;0.721569;0.670588;0.560784;43947.000000;1.000000;1.000000;1.000000;1.000000;0.010201;-0.010201;0.010201;1.000000
445601.66060169;5696587.78619965;474.18615009;0.756863;0.690196;0.592157;45746.000000;1.000000;1.000000;1.000000;1.000000;0.043800;-0.043800;0.043800;1.000000
445601.64990147;5696587.75739868;474.15494968;0.968627;0.956863;0.878431;62194.000000;1.000000;1.000000;1.000000;1.000000;0.072601;-0.072601;0.072601;1.000000
445601.61490162;5696587.78389938;474.15835001;0.682353;0.627451;0.501961;41120.000000;1.000000;1.000000;1.000000;1.000000;0.046101;-0.046101;0.046101;1.000000
445601.46150215;5696587.75490006;474.23495008;0.788235;0.792157;0.678431;50886.000000;1.000000;1.000000;1.000000;1.000000;-0.050657;0.050657;-0.050657;1.000000
445601.64760120;5696587.76209839;474.16424992;0.898039;0.866667;0.788235;56797.000000;1.000000;1.000000;1.000000;1.000000;0.067902;-0.067902;0.067902;1.000000
445601.61550148;5696587.76519974;474.15814974;0.686275;0.643137;0.537255;42148.000000;1.000000;1.000000;1.000000;1.000000;0.064800;-0.064800;0.064800;1.000000
445601.60990150;5696587.78199966;474.16045000;0.764706;0.713725;0.6;46774.000000;1.000000;1.000000;1.000000;1.000000;0.048000;-0.048000;0.048000;1.000000
445601.66280182;5696587.78599937;474.18855001;0.788235;0.721569;0.623529;47802.000000;1.000000;1.000000;1.000000;1.000000;0.044001;-0.044001;0.044001;1.000000
445601.63590153;5696587.76309975;474.16844990;0.752941;0.705882;0.611765;46260.000000;1.000000;1.000000;1.000000;1.000000;0.066900;-0.066900;0.066900;1.000000
445601.59920128;5696587.78559883;474.14605000;0.694118;0.65098;0.54902;42662.000000;1.000000;1.000000;1.000000;1.000000;0.044401;-0.044401;0.044401;1.000000
445601.62300117;5696587.81829842;474.15214970;0.654902;0.6;0.490196;39578.000000;1.000000;1.000000;1.000000;1.000000;0.012040;-0.012040;0.012040;1.000000
445601.63610180;5696587.79109962;474.16874983;0.580392;0.501961;0.4;33667.000000;1.000000;1.000000;1.000000;1.000000;0.038900;-0.038900;0.038900;1.000000
445601.63520153;5696587.75619896;474.16825010;0.843137;0.807843;0.713725;52942.000000;1.000000;1.000000;1.000000;1.000000;0.073801;-0.073801;0.073801;1.000000
445601.66280182;5696587.78599937;474.18855001;0.788235;0.72549;0.627451;48059.000000;1.000000;1.000000;1.000000;1.000000;0.044001;-0.044001;0.044001;1.000000
445601.64860161;5696587.77369888;474.16674997;0.784314;0.713725;0.639216;47545.000000;1.000000;1.000000;1.000000;1.000000;0.056301;-0.056301;0.056301;1.000000
445601.61510189;5696587.80970009;474.15404989;0.592157;0.529412;0.431373;35209.000000;1.000000;1.000000;1.000000;1.000000;0.020300;-0.020300;0.020300;1.000000
445601.46850212;5696587.75429924;474.23294975;0.823529;0.827451;0.705882;53199.000000;1.000000;1.000000;1.000000;1.000000;-0.044899;0.044899;-0.044899;1.000000
445601.60430153;5696587.81320007;474.14195015;0.690196;0.631373;0.533333;41634.000000;1.000000;1.000000;1.000000;1.000000;0.016800;-0.016800;0.016800;1.000000
445601.61510189;5696587.80970009;474.15404989;0.596078;0.533333;0.435294;35466.000000;1.000000;1.000000;1.000000;1.000000;0.020300;-0.020300;0.020300;1.000000
445601.61550148;5696587.76519974;474.15814974;0.686275;0.643137;0.537255;42148.000000;1.000000;1.000000;1.000000;1.000000;0.064800;-0.064800;0.064800;1.000000
445601.46150215;5696587.75490006;474.23495008;0.780392;0.780392;0.670588;50115.000000;1.000000;1.000000;1.000000;1.000000;-0.050657;0.050657;-0.050657;1.000000
445601.61950119;5696587.78349884;474.15854980;0.611765;0.552941;0.423529;36237.000000;1.000000;1.000000;1.000000;1.000000;0.046501;-0.046501;0.046501;1.000000
445601.46520050;5696587.76629837;474.22825005;0.811765;0.811765;0.694118;52171.000000;1.000000;1.000000;1.000000;1.000000;-0.055854;0.055854;-0.055854;1.000000
445601.59560211;5696587.81649979;474.13464977;0.721569;0.666667;0.568627;43947.000000;1.000000;1.000000;1.000000;1.000000;0.013500;-0.013500;0.013500;1.000000
445601.46150215;5696587.75490006;474.23495008;0.780392;0.780392;0.670588;50115.000000;1.000000;1.000000;1.000000;1.000000;-0.050657;0.050657;-0.050657;1.000000
445601.62520130;5696587.77349861;474.16804983;0.584314;0.513725;0.415686;34181.000000;1.000000;1.000000;1.000000;1.000000;0.056526;-0.056526;0.056526;1.000000
445601.61020191;5696587.78659828;474.16284992;0.631373;0.572549;0.45098;37779.000000;1.000000;1.000000;1.000000;1.000000;0.043402;-0.043402;0.043402;1.000000
445601.65180214;5696587.78719910;474.17635014;0.682353;0.607843;0.509804;40349.000000;1.000000;1.000000;1.000000;1.000000;0.042802;-0.042802;0.042802;1.000000
445601.60690125;5696587.81979950;474.14914991;0.72549;0.67451;0.564706;44204.000000;1.000000;1.000000;1.000000;1.000000;0.010201;-0.010201;0.010201;1.000000
445601.64970215;5696587.75729950;474.15964987;0.94902;0.933333;0.854902;60652.000000;1.000000;1.000000;1.000000;1.000000;0.072701;-0.072701;0.072701;1.000000
445601.66280182;5696587.78599937;474.18855001;0.792157;0.72549;0.627451;48059.000000;1.000000;1.000000;1.000000;1.000000;0.044001;-0.044001;0.044001;1.000000
445601.61550148;5696587.76519974;474.15814974;0.686275;0.643137;0.537255;42148.000000;1.000000;1.000000;1.000000;1.000000;0.064800;-0.064800;0.064800;1.000000
445601.62570198;5696587.80159958;474.16144993;0.52549;0.45098;0.333333;30069.000000;1.000000;1.000000;1.000000;1.000000;0.028425;-0.028425;0.028425;1.000000
445601.59920128;5696587.78559883;474.14605000;0.694118;0.65098;0.54902;42662.000000;1.000000;1.000000;1.000000;1.000000;0.044401;-0.044401;0.044401;1.000000
445601.46150215;5696587.75490006;474.23495008;0.780392;0.780392;0.670588;50115.000000;1.000000;1.000000;1.000000;1.000000;-0.050657;0.050657;-0.050657;1.000000
445601.46150215;5696587.75490006;474.23495008;0.780392;0.780392;0.670588;50115.000000;1.000000;1.000000;1.000000;1.000000;-0.050657;0.050657;-0.050657;1.000000
445601.46520050;5696587.76629837;474.22825005;0.811765;0.815686;0.694118;52428.000000;1.000000;1.000000;1.000000;1.000000;-0.055854;0.055854;-0.055854;1.000000
445601.62600143;5696587.75479897;474.16314985;0.858824;0.811765;0.717647;53199.000000;1.000000;1.000000;1.000000;1.000000;0.075206;-0.075206;0.075206;1.000000
445601.46520050;5696587.76629837;474.22825005;0.807843;0.815686;0.694118;52171.000000;1.000000;1.000000;1.000000;1.000000;-0.055854;0.055854;-0.055854;1.000000
445601.65180214;5696587.78499992;474.17175009;0.745098;0.662745;0.568627;44204.000000;1.000000;1.000000;1.000000;1.000000;0.045002;-0.045002;0.045002;1.000000
445601.59920128;5696587.78559883;474.14605000;0.694118;0.65098;0.54902;42662.000000;1.000000;1.000000;1.000000;1.000000;0.044401;-0.044401;0.044401;1.000000
445601.61940201;5696587.80689819;474.15654995;0.592157;0.529412;0.431373;35209.000000;1.000000;1.000000;1.000000;1.000000;0.023102;-0.023102;0.023102;1.000000
445601.62020119;5696587.76699837;474.16074993;0.639216;0.584314;0.482353;38550.000000;1.000000;1.000000;1.000000;1.000000;0.063002;-0.063002;0.063002;1.000000
445601.65050133;5696587.76879890;474.16685011;0.811765;0.752941;0.678431;49858.000000;1.000000;1.000000;1.000000;1.000000;0.061201;-0.061201;0.061201;1.000000
445601.61040123;5696587.78889854;474.16524984;0.576471;0.517647;0.392157;33924.000000;1.000000;1.000000;1.000000;1.000000;0.041101;-0.041101;0.041101;1.000000
445601.62300117;5696587.81829842;474.15214970;0.65098;0.596078;0.490196;39321.000000;1.000000;1.000000;1.000000;1.000000;0.012040;-0.012040;0.012040;1.000000
445601.66280182;5696587.78599937;474.18855001;0.784314;0.717647;0.619608;47545.000000;1.000000;1.000000;1.000000;1.000000;0.044001;-0.044001;0.044001;1.000000
445601.60230167;5696587.81579979;474.13954975;0.701961;0.647059;0.54902;42662.000000;1.000000;1.000000;1.000000;1.000000;0.014200;-0.014200;0.014200;1.000000
445601.59920128;5696587.78559883;474.14605000;0.690196;0.647059;0.545098;42405.000000;1.000000;1.000000;1.000000;1.000000;0.044401;-0.044401;0.044401;1.000000
445601.61730202;5696587.78369911;474.15614988;0.635294;0.576471;0.447059;37779.000000;1.000000;1.000000;1.000000;1.000000;0.046301;-0.046301;0.046301;1.000000
445601.60690125;5696587.81979950;474.14914991;0.72549;0.67451;0.564706;44204.000000;1.000000;1.000000;1.000000;1.000000;0.010201;-0.010201;0.010201;1.000000
445601.60430153;5696587.81320007;474.14195015;0.690196;0.631373;0.533333;41634.000000;1.000000;1.000000;1.000000;1.000000;0.016800;-0.016800;0.016800;1.000000
445601.65240105;5696587.76400002;474.16685011;0.882353;0.839216;0.764706;55255.000000;1.000000;1.000000;1.000000;1.000000;0.066007;-0.066007;0.066007;1.000000
445601.66280182;5696587.78599937;474.18855001;0.792157;0.72549;0.627451;48059.000000;1.000000;1.000000;1.000000;1.000000;0.044001;-0.044001;0.044001;1.000000
445601.62610157;5696587.75479897;474.16085007;0.87451;0.827451;0.733333;54227.000000;1.000000;1.000000;1.000000;1.000000;0.075205;-0.075205;0.075205;1.000000
445601.64970215;5696587.75729950;474.15964987;0.960784;0.945098;0.866667;61680.000000;1.000000;1.000000;1.000000;1.000000;0.072701;-0.072701;0.072701;1.000000
445601.59560211;5696587.81649979;474.13464977;0.721569;0.670588;0.568627;44204.000000;1.000000;1.000000;1.000000;1.000000;0.013500;-0.013500;0.013500;1.000000
445601.62830170;5696587.78249939;474.16825010;0.588235;0.517647;0.407843;34438.000000;1.000000;1.000000;1.000000;1.000000;0.047501;-0.047501;0.047501;1.000000
445601.63440140;5696587.74919899;474.17285015;0.917647;0.882353;0.792157;57825.000000;1.000000;1.000000;1.000000;1.000000;0.080801;-0.080801;0.080801;1.000000
445601.59560211;5696587.81649979;474.13464977;0.717647;0.670588;0.568627;43947.000000;1.000000;1.000000;1.000000;1.000000;0.013500;-0.013500;0.013500;1.000000
445601.62910183;5696587.78949936;474.16604998;0.541176;0.470588;0.356863;31354.000000;1.000000;1.000000;1.000000;1.000000;0.040501;-0.040501;0.040501;1.000000
445601.60690125;5696587.81979950;474.14914991;0.72549;0.67451;0.564706;44204.000000;1.000000;1.000000;1.000000;1.000000;0.010201;-0.010201;0.010201;1.000000
445601.63470181;5696587.79829987;474.16414978;0.552941;0.478431;0.337255;31611.000000;1.000000;1.000000;1.000000;1.000000;0.031700;-0.031700;0.031700;1.000000
445601.61510189;5696587.80970009;474.15404989;0.592157;0.529412;0.431373;35209.000000;1.000000;1.000000;1.000000;1.000000;0.020300;-0.020300;0.020300;1.000000
445601.46380051;5696587.75469978;474.23504974;0.796078;0.796078;0.682353;51143.000000;1.000000;1.000000;1.000000;1.000000;-0.048719;0.048719;-0.048719;1.000000
445601.64320190;5696587.79279907;474.17145016;0.603922;0.52549;0.431373;35209.000000;1.000000;1.000000;1.000000;1.000000;0.037201;-0.037201;0.037201;1.000000
445601.59560211;5696587.81649979;474.13464977;0.721569;0.670588;0.568627;44204.000000;1.000000;1.000000;1.000000;1.000000;0.013500;-0.013500;0.013500;1.000000
445601.46520050;5696587.76629837;474.22825005;0.811765;0.815686;0.694118;52428.000000;1.000000;1.000000;1.000000;1.000000;-0.055854;0.055854;-0.055854;1.000000
