//X;Y;Z;R;G;B;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump129\
445601.46150215;5696587.75490006;474.23495008;201;202;173;50886.000000;1.000000;1.000000;1.000000;1.000000;-0.050657;0.050657;-0.050657;1.000000
445601.64760120;5696587.76209839;474.16424992;229;221;201;56797.000000;1.000000;1.000000;1.000000;1.000000;0.067902;-0.067902;0.067902;1.000000
445601.61550148;5696587.76519974;474.15814974;175;164;137;42148.000000;1.000000;1.000000;1.000000;1.000000;0.064800;-0.064800;0.064800;1.000000
445601.60990150;5696587.78199966;474.16045000;195;182;153;46774.000000;1.000000;1.000000;1.000000;1.000000;0.048000;-0.048000;0.048000;1.000000
445601.66280182;5696587.78599937;474.18855001;201;184;159;47802.000000;1.000000;1.000000;1.000000;1.000000;0.044001;-0.044001;0.044001;1.000000
445601.63590153;5696587.76309975;474.16844990;192;180;156;46260.000000;1.000000;1.000000;1.000000;1.000000;0.066900;-0.066900;0.066900;1.000000
445601.59920128;5696587.78559883;474.14605000;177;166;140;42662.000000;1.000000;1.000000;1.000000;1.000000;0.044401;-0.044401;0.044401;1.000000
445601.62300117;5696587.81829842;474.15214970;167;153;125;39578.000000;1.000000;1.000000;1.000000;1.000000;0.012040;-0.012040;0.012040;1.000000
445601.63610180;5696587.79109962;474.16874983;148;128;102;33667.000000;1.000000;1.000000;1.000000;1.000000;0.038900;-0.038900;0.038900;1.000000
445601.63520153;5696587.75619896;474.16825010;215;206;182;52942.000000;1.000000;1.000000;1.000000;1.000000;0.073801;-0.073801;0.073801;1.000000
445601.66280182;5696587.78599937;474.18855001;201;185;160;48059.000000;1.000000;1.000000;1.000000;1.000000;0.044001;-0.044001;0.044001;1.000000
445601.64860161;5696587.77369888;474.16674997;200;182;163;47545.000000;1.000000;1.000000;1.000000;1.000000;0.056301;-0.056301;0.056301;1.000000
445601.61510189;5696587.80970009;474.15404989;151;135;110;35209.000000;1.000000;1.000000;1.000000;1.000000;0.020300;-0.020300;0.020300;1.000000
445601.46850212;5696587.75429924;474.23294975;210;211;180;53199.000000;1.000000;1.000000;1.000000;1.000000;-0.044899;0.044899;-0.044899;1.000000
445601.60430153;5696587.81320007;474.14195015;176;161;136;41634.000000;1.000000;1.000000;1.000000;1.000000;0.016800;-0.016800;0.016800;1.000000
445601.61510189;5696587.80970009;474.15404989;152;136;111;35466.000000;1.000000;1.000000;1.000000;1.000000;0.020300;-0.020300;0.020300;1.000000
445601.61550148;5696587.76519974;474.15814974;175;164;137;42148.000000;1.000000;1.000000;1.000000;1.000000;0.064800;-0.064800;0.064800;1.000000
445601.46150215;5696587.75490006;474.23495008;199;199;171;50115.000000;1.000000;1.000000;1.000000;1.000000;-0.050657;0.050657;-0.050657;1.000000
445601.61950119;5696587.78349884;474.15854980;156;141;108;36237.000000;1.000000;1.000000;1.000000;1.000000;0.046501;-0.046501;0.046501;1.000000
445601.46520050;5696587.76629837;474.22825005;207;207;177;52171.000000;1.000000;1.000000;1.000000;1.000000;-0.055854;0.055854;-0.055854;1.000000
445601.59560211;5696587.81649979;474.13464977;184;170;145;43947.000000;1.000000;1.000000;1.000000;1.000000;0.013500;-0.013500;0.013500;1.000000
445601.46150215;5696587.75490006;474.23495008;199;199;171;50115.000000;1.000000;1.000000;1.000000;1.000000;-0.050657;0.050657;-0.050657;1.000000
445601.62520130;5696587.77349861;474.16804983;149;131;106;34181.000000;1.000000;1.000000;1.000000;1.000000;0.056526;-0.056526;0.056526;1.000000
445601.61020191;5696587.78659828;474.16284992;161;146;115;37779.000000;1.000000;1.000000;1.000000;1.000000;0.043402;-0.043402;0.043402;1.000000
445601.65180214;5696587.78719910;474.17635014;174;155;130;40349.000000;1.000000;1.000000;1.000000;1.000000;0.042802;-0.042802;0.042802;1.000000
445601.60690125;5696587.81979950;474.14914991;185;172;144;44204.000000;1.000000;1.000000;1.000000;1.000000;0.010201;-0.010201;0.010201;1.000000
445601.64970215;5696587.75729950;474.15964987;242;238;218;60652.000000;1.000000;1.000000;1.000000;1.000000;0.072701;-0.072701;0.072701;1.000000
445601.66280182;5696587.78599937;474.18855001;202;185;160;48059.000000;1.000000;1.000000;1.000000;1.000000;0.044001;-0.044001;0.044001;1.000000
445601.61550148;5696587.76519974;474.15814974;175;164;137;42148.000000;1.000000;1.000000;1.000000;1.000000;0.064800;-0.064800;0.064800;1.000000
445601.62570198;5696587.80159958;474.16144993;134;115;85;30069.000000;1.000000;1.000000;1.000000;1.000000;0.028425;-0.028425;0.028425;1.000000
445601.59920128;5696587.78559883;474.14605000;177;166;140;42662.000000;1.000000;1.000000;1.000000;1.000000;0.044401;-0.044401;0.044401;1.000000
445601.46150215;5696587.75490006;474.23495008;199;199;171;50115.000000;1.000000;1.000000;1.000000;1.000000;-0.050657;0.050657;-0.050657;1.000000
445601.46150215;5696587.75490006;474.23495008;199;199;171;50115.000000;1.000000;1.000000;1.000000;1.000000;-0.050657;0.050657;-0.050657;1.000000
445601.46520050;5696587.76629837;474.22825005;207;208;177;52428.000000;1.000000;1.000000;1.000000;1.000000;-0.055854;0.055854;-0.055854;1.000000
445601.62600143;5696587.75479897;474.16314985;219;207;183;53199.000000;1.000000;1.000000;1.000000;1.000000;0.075206;-0.075206;0.075206;1.000000
445601.46520050;5696587.76629837;474.22825005;206;208;177;52171.000000;1.000000;1.000000;1.000000;1.000000;-0.055854;0.055854;-0.055854;1.000000
445601.65180214;5696587.78499992;474.17175009;190;169;145;44204.000000;1.000000;1.000000;1.000000;1.000000;0.045002;-0.045002;0.045002;1.000000
445601.59920128;5696587.78559883;474.14605000;177;166;140;42662.000000;1.000000;1.000000;1.000000;1.000000;0.044401;-0.044401;0.044401;1.000000
445601.61940201;5696587.80689819;474.15654995;151;135;110;35209.000000;1.000000;1.000000;1.000000;1.000000;0.023102;-0.023102;0.023102;1.000000
445601.62020119;5696587.76699837;474.16074993;163;149;123;38550.000000;1.000000;1.000000;1.000000;1.000000;0.063002;-0.063002;0.063002;1.000000
445601.65050133;5696587.76879890;474.16685011;207;192;173;49858.000000;1.000000;1.000000;1.000000;1.000000;0.061201;-0.061201;0.061201;1.000000
445601.61040123;5696587.78889854;474.16524984;147;132;100;33924.000000;1.000000;1.000000;1.000000;1.000000;0.041101;-0.041101;0.041101;1.000000
445601.62300117;5696587.81829842;474.15214970;166;152;125;39321.000000;1.000000;1.000000;1.000000;1.000000;0.012040;-0.012040;0.012040;1.000000
445601.66280182;5696587.78599937;474.18855001;200;183;158;47545.000000;1.000000;1.000000;1.000000;1.000000;0.044001;-0.044001;0.044001;1.000000
445601.60230167;5696587.81579979;474.13954975;179;165;140;42662.000000;1.000000;1.000000;1.000000;1.000000;0.014200;-0.014200;0.014200;1.000000
445601.59920128;5696587.78559883;474.14605000;176;165;139;42405.000000;1.000000;1.000000;1.000000;1.000000;0.044401;-0.044401;0.044401;1.000000
445601.61730202;5696587.78369911;474.15614988;162;147;114;37779.000000;1.000000;1.000000;1.000000;1.000000;0.046301;-0.046301;0.046301;1.000000
445601.60690125;5696587.81979950;474.14914991;185;172;144;44204.000000;1.000000;1.000000;1.000000;1.000000;0.010201;-0.010201;0.010201;1.000000
445601.60430153;5696587.81320007;474.14195015;176;161;136;41634.000000;1.000000;1.000000;1.000000;1.000000;0.016800;-0.016800;0.016800;1.000000
445601.65240105;5696587.76400002;474.16685011;225;214;195;55255.000000;1.000000;1.000000;1.000000;1.000000;0.066007;-0.066007;0.066007;1.000000
445601.66280182;5696587.78599937;474.18855001;202;185;160;48059.000000;1.000000;1.000000;1.000000;1.000000;0.044001;-0.044001;0.044001;1.000000
445601.62610157;5696587.75479897;474.16085007;223;211;187;54227.000000;1.000000;1.000000;1.000000;1.000000;0.075205;-0.075205;0.075205;1.000000
445601.64970215;5696587.75729950;474.15964987;245;241;221;61680.000000;1.000000;1.000000;1.000000;1.000000;0.072701;-0.072701;0.072701;1.000000
445601.59560211;5696587.81649979;474.13464977;184;171;145;44204.000000;1.000000;1.000000;1.000000;1.000000;0.013500;-0.013500;0.013500;1.000000
445601.62830170;5696587.78249939;474.16825010;150;132;104;34438.000000;1.000000;1.000000;1.000000;1.000000;0.047501;-0.047501;0.047501;1.000000
445601.63440140;5696587.74919899;474.17285015;234;225;202;57825.000000;1.000000;1.000000;1.000000;1.000000;0.080801;-0.080801;0.080801;1.000000
445601.59560211;5696587.81649979;474.13464977;183;171;145;43947.000000;1.000000;1.000000;1.000000;1.000000;0.013500;-0.013500;0.013500;1.000000
445601.62910183;5696587.78949936;474.16604998;138;120;91;31354.000000;1.000000;1.000000;1.000000;1.000000;0.040501;-0.040501;0.040501;1.000000
445601.60690125;5696587.81979950;474.14914991;185;172;144;44204.000000;1.000000;1.000000;1.000000;1.000000;0.010201;-0.010201;0.010201;1.000000
445601.63470181;5696587.79829987;474.16414978;141;122;86;31611.000000;1.000000;1.000000;1.000000;1.000000;0.031700;-0.031700;0.031700;1.000000
445601.61510189;5696587.80970009;474.15404989;151;135;110;35209.000000;1.000000;1.000000;1.000000;1.000000;0.020300;-0.020300;0.020300;1.000000
445601.46380051;5696587.75469978;474.23504974;203;203;174;51143.000000;1.000000;1.000000;1.000000;1.000000;-0.048719;0.048719;-0.048719;1.000000
445601.64320190;5696587.79279907;474.17145016;154;134;110;35209.000000;1.000000;1.000000;1.000000;1.000000;0.037201;-0.037201;0.037201;1.000000
445601.59560211;5696587.81649979;474.13464977;184;171;145;44204.000000;1.000000;1.000000;1.000000;1.000000;0.013500;-0.013500;0.013500;1.000000
445601.46520050;5696587.76629837;474.22825005;207;208;177;52428.000000;1.000000;1.000000;1.000000;1.000000;-0.055854;0.055854;-0.055854;1.000000
