//X;Y;Z;R;G;B;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump11;Stump112
445624.98470123;5696599.71509750;472.74074986;75;65;53;16962.000000;1.000000;1.000000;1.000000;1.000000;0.114902;-0.114902;0.114902;1.000000;1.000000
445624.95530136;5696599.92799957;472.74424984;34;31;35;8224.000000;1.000000;1.000000;1.000000;1.000000;-0.086932;0.086932;-0.086932;1.000000;1.000000
445624.96680077;5696599.90119751;472.74445011;43;41;42;10537.000000;1.000000;1.000000;1.000000;1.000000;0.071198;-0.071198;0.071198;1.000000;1.000000
445624.98370178;5696599.70579727;472.74284985;84;73;65;19275.000000;1.000000;1.000000;1.000000;1.000000;0.124203;-0.124203;0.124203;1.000000;1.000000
445624.99400146;5696599.71419724;472.73875000;87;75;62;19789.000000;1.000000;1.000000;1.000000;1.000000;-0.115803;0.115803;-0.115803;1.000000;1.000000
445624.93780144;5696599.88989838;472.74294998;55;54;54;13878.000000;1.000000;1.000000;1.000000;1.000000;0.059898;-0.059898;0.059898;1.000000;1.000000
445624.97520073;5696599.89110001;472.74475004;72;71;73;18247.000000;1.000000;1.000000;1.000000;1.000000;-0.061100;0.061100;-0.061100;1.000000;1.000000
445624.99260147;5696599.72369965;472.73885014;103;92;77;23901.000000;1.000000;1.000000;1.000000;1.000000;0.106300;-0.106300;0.106300;1.000000;1.000000
445624.96540077;5696599.91069992;472.74445011;35;33;33;8481.000000;1.000000;1.000000;1.000000;1.000000;0.080700;-0.080700;0.080700;1.000000;1.000000
445624.95590218;5696599.90920074;472.74405005;32;30;33;7710.000000;1.000000;1.000000;1.000000;1.000000;-0.079201;0.079201;-0.079201;1.000000;1.000000
445625.17490204;5696599.83569916;472.71114971;157;149;140;38550.000000;1.000000;1.000000;1.000000;1.000000;0.110671;-0.110671;0.110671;1.000000;1.000000
445625.19530113;5696599.75210007;472.70874979;168;161;148;41377.000000;1.000000;1.000000;1.000000;1.000000;-0.152346;0.152346;-0.152346;1.000000;1.000000
445625.18260201;5696599.81640060;472.70895006;176;171;162;43947.000000;1.000000;1.000000;1.000000;1.000000;-0.119004;0.119004;-0.119004;1.000000;1.000000
445625.06490143;5696599.76629837;472.72634985;173;165;153;42662.000000;1.000000;1.000000;1.000000;1.000000;-0.063704;0.063704;-0.063704;1.000000;1.000000
445625.13470085;5696599.86030014;472.72125008;220;215;204;55255.000000;1.000000;1.000000;1.000000;1.000000;0.076573;-0.076573;0.076573;1.000000;1.000000
445625.17260178;5696599.86389740;472.71834995;156;148;137;38293.000000;1.000000;1.000000;1.000000;1.000000;0.113409;-0.113409;0.113409;1.000000;1.000000
445625.13620193;5696599.82519730;472.71854975;141;132;121;34181.000000;1.000000;1.000000;1.000000;1.000000;-0.071985;0.071985;-0.071985;1.000000;1.000000
445625.19820221;5696599.70749863;472.70604994;146;144;135;36751.000000;1.000000;1.000000;1.000000;1.000000;-0.181427;0.181427;-0.181427;1.000000;1.000000
445625.12280090;5696599.73069962;472.71684982;153;148;138;38036.000000;1.000000;1.000000;1.000000;1.000000;-0.115212;0.115212;-0.115212;1.000000;1.000000
445625.08670242;5696599.90649994;472.74064972;165;159;157;41120.000000;1.000000;1.000000;1.000000;1.000000;0.079691;-0.079691;0.079691;1.000000;1.000000
445625.08800133;5696599.86910065;472.73784973;236;231;227;59624.000000;1.000000;1.000000;1.000000;1.000000;0.045683;-0.045683;0.045683;1.000000;1.000000
445625.05300148;5696599.79289825;472.73544981;167;156;143;40349.000000;1.000000;1.000000;1.000000;1.000000;0.037102;-0.037102;0.037102;1.000000;1.000000
445625.04430206;5696599.77509888;472.73474981;200;191;178;49344.000000;1.000000;1.000000;1.000000;1.000000;0.054901;-0.054901;0.054901;1.000000;1.000000
445625.15350159;5696599.86089905;472.71974995;163;156;145;40092.000000;1.000000;1.000000;1.000000;1.000000;0.094329;-0.094329;0.094329;1.000000;1.000000
445625.23130234;5696599.79070099;472.71544983;199;195;187;50115.000000;1.000000;1.000000;1.000000;1.000000;-0.171489;0.171489;-0.171489;1.000000;1.000000
445625.18320091;5696599.79759796;472.70874979;146;140;131;35980.000000;1.000000;1.000000;1.000000;1.000000;-0.123162;0.123162;-0.123162;1.000000;1.000000
445625.25840195;5696599.80229767;472.70984985;136;134;125;34181.000000;1.000000;1.000000;1.000000;1.000000;-0.195992;0.195992;-0.195992;1.000000;1.000000
445625.04800232;5696599.70719727;472.72015001;107;99;90;25700.000000;1.000000;1.000000;1.000000;1.000000;0.122803;-0.122803;0.122803;1.000000;1.000000
445625.08580215;5696599.71079834;472.71724989;142;137;127;35209.000000;1.000000;1.000000;1.000000;1.000000;-0.121112;0.121112;-0.121112;1.000000;1.000000
445625.14920242;5696599.76099976;472.71145012;145;139;126;35723.000000;1.000000;1.000000;1.000000;1.000000;-0.109345;0.109345;-0.109345;1.000000;1.000000
445625.12350090;5696599.71199997;472.71434977;165;161;151;41377.000000;1.000000;1.000000;1.000000;1.000000;-0.131983;0.131983;-0.131983;1.000000;1.000000
445625.15250214;5696599.72099884;472.71105005;127;124;113;31611.000000;1.000000;1.000000;1.000000;1.000000;-0.140169;0.140169;-0.140169;1.000000;1.000000
445625.00140198;5696599.71599777;472.73444988;87;77;64;20046.000000;1.000000;1.000000;1.000000;1.000000;-0.114002;0.114002;-0.114002;1.000000;1.000000
445625.20560081;5696599.76280029;472.70935013;111;103;91;26728.000000;1.000000;1.000000;1.000000;1.000000;-0.156396;0.156396;-0.156396;1.000000;1.000000
445625.20680244;5696599.72540100;472.70895006;140;136;125;34695.000000;1.000000;1.000000;1.000000;1.000000;-0.176708;0.176708;-0.176708;1.000000;1.000000
445625.05960091;5696599.89489944;472.74854996;136;132;131;34181.000000;1.000000;1.000000;1.000000;1.000000;0.064899;-0.064899;0.064899;1.000000;1.000000
445625.06080063;5696599.85740097;472.74814989;200;196;193;50372.000000;1.000000;1.000000;1.000000;1.000000;0.027401;-0.027401;0.027401;1.000000;1.000000
445625.21160133;5696599.82769974;472.71035006;71;64;57;16705.000000;1.000000;1.000000;1.000000;1.000000;-0.147242;0.147242;-0.147242;1.000000;1.000000
445625.08800133;5696599.63569839;472.72114994;160;152;140;39321.000000;1.000000;1.000000;1.000000;1.000000;-0.195732;0.195732;-0.195732;1.000000;1.000000
445625.15200241;5696599.66729935;472.71504976;75;70;60;17990.000000;1.000000;1.000000;1.000000;1.000000;-0.184796;0.184796;-0.184796;1.000000;1.000000
445625.13750084;5696599.78769882;472.71584990;176;170;160;43690.000000;1.000000;1.000000;1.000000;1.000000;-0.084477;0.084477;-0.084477;1.000000;1.000000
445625.21490105;5696599.78989990;472.71474983;148;142;133;36494.000000;1.000000;1.000000;1.000000;1.000000;-0.155774;0.155774;-0.155774;1.000000;1.000000
445625.09050186;5696599.84099777;472.72835018;206;200;190;51400.000000;1.000000;1.000000;1.000000;1.000000;0.028345;-0.028345;0.028345;1.000000;1.000000
445625.06700142;5696599.71010025;472.71875002;168;161;151;41634.000000;1.000000;1.000000;1.000000;1.000000;-0.119928;0.119928;-0.119928;1.000000;1.000000
445625.14220245;5696599.71259888;472.71514990;148;144;136;37008.000000;1.000000;1.000000;1.000000;1.000000;-0.140854;0.140854;-0.140854;1.000000;1.000000
445625.10460098;5696599.71139725;472.71584990;131;127;117;32639.000000;1.000000;1.000000;1.000000;1.000000;-0.125238;0.125238;-0.125238;1.000000;1.000000
445625.05530174;5696599.76479919;472.72814991;187;179;166;46003.000000;1.000000;1.000000;1.000000;1.000000;0.065201;-0.065201;0.065201;1.000000;1.000000
445625.16310127;5696599.86239822;472.71794989;148;141;130;36237.000000;1.000000;1.000000;1.000000;1.000000;0.103904;-0.103904;0.103904;1.000000;1.000000
445625.12890060;5696599.82349976;472.72055008;133;124;112;32125.000000;1.000000;1.000000;1.000000;1.000000;-0.064850;0.064850;-0.064850;1.000000;1.000000
445625.12800224;5696599.78629883;472.71544983;215;209;198;53713.000000;1.000000;1.000000;1.000000;1.000000;-0.077188;0.077188;-0.077188;1.000000;1.000000
445625.05740173;5696599.70870026;472.72064974;138;131;121;33924.000000;1.000000;1.000000;1.000000;1.000000;-0.121300;0.121300;-0.121300;1.000000;1.000000
445625.12460144;5696599.87990006;472.72574999;224;218;210;56026.000000;1.000000;1.000000;1.000000;1.000000;0.078211;-0.078211;0.078211;1.000000;1.000000
445625.16220100;5696599.88109787;472.72504999;146;136;127;35466.000000;1.000000;1.000000;1.000000;1.000000;0.110365;-0.110365;0.110365;1.000000;1.000000
445625.08960159;5696599.80369766;472.72324993;156;146;132;37779.000000;1.000000;1.000000;1.000000;1.000000;-0.036443;0.036443;-0.036443;1.000000;1.000000
445625.22950180;5696599.81899841;472.71105005;75;71;63;18247.000000;1.000000;1.000000;1.000000;1.000000;-0.165491;0.165491;-0.165491;1.000000;1.000000
445625.06920250;5696599.63509949;472.72265007;142;135;123;34695.000000;1.000000;1.000000;1.000000;1.000000;-0.194960;0.194960;-0.194960;1.000000;1.000000
445625.10220154;5696599.78629883;472.71894981;146;138;122;35466.000000;1.000000;1.000000;1.000000;1.000000;-0.057797;0.057797;-0.057797;1.000000;1.000000
445625.12390144;5696599.89859970;472.72825005;222;215;208;55512.000000;1.000000;1.000000;1.000000;1.000000;0.090824;-0.090824;0.090824;1.000000;1.000000
445625.16150101;5696599.89979752;472.72765018;134;123;114;32125.000000;1.000000;1.000000;1.000000;1.000000;0.119602;-0.119602;0.119602;1.000000;1.000000
445625.12530144;5696599.86120041;472.72314980;207;202;193;51914.000000;1.000000;1.000000;1.000000;1.000000;0.068449;-0.068449;0.068449;1.000000;1.000000
445625.09120186;5696599.82219894;472.72585012;151;143;130;36751.000000;1.000000;1.000000;1.000000;1.000000;-0.027936;0.027936;-0.027936;1.000000;1.000000
445625.10060127;5696599.79569824;472.72125008;161;152;137;39321.000000;1.000000;1.000000;1.000000;1.000000;-0.049888;0.049888;-0.049888;1.000000;1.000000
445625.13840111;5696599.79699905;472.71604969;138;133;121;34181.000000;1.000000;1.000000;1.000000;1.000000;-0.081047;0.081047;-0.081047;1.000000;1.000000
445625.10200127;5696599.75829895;472.71624996;156;148;136;38293.000000;1.000000;1.000000;1.000000;1.000000;-0.080973;0.080973;-0.080973;1.000000;1.000000
445625.13950165;5696599.75950058;472.71565010;156;151;140;38807.000000;1.000000;1.000000;1.000000;1.000000;-0.103023;0.103023;-0.103023;1.000000;1.000000
445625.06890114;5696599.68189819;472.72085001;102;98;88;25186.000000;1.000000;1.000000;1.000000;1.000000;-0.148171;0.148171;-0.148171;1.000000;1.000000
445625.10440071;5696599.68339737;472.71544983;137;132;122;33924.000000;1.000000;1.000000;1.000000;1.000000;-0.151968;0.151968;-0.151968;1.000000;1.000000
445625.06570061;5696599.74759872;472.72144987;187;177;163;45746.000000;1.000000;1.000000;1.000000;1.000000;-0.082412;0.082412;-0.082412;1.000000;1.000000
445625.10350235;5696599.74880035;472.71614983;139;132;121;33924.000000;1.000000;1.000000;1.000000;1.000000;-0.090134;0.090134;-0.090134;1.000000;1.000000
445625.19540222;5696599.78009995;472.71145012;96;89;78;22873.000000;1.000000;1.000000;1.000000;1.000000;-0.140205;0.140205;-0.140205;1.000000;1.000000
445625.10920151;5696599.78569992;472.71684982;162;155;142;39835.000000;1.000000;1.000000;1.000000;1.000000;-0.063021;0.063021;-0.063021;1.000000;1.000000
445625.14710243;5696599.78919800;472.71394970;128;123;112;31611.000000;1.000000;1.000000;1.000000;1.000000;-0.092240;0.092240;-0.092240;1.000000;1.000000
445625.15560158;5696599.77910049;472.71194984;150;145;133;37265.000000;1.000000;1.000000;1.000000;1.000000;-0.104463;0.104463;-0.104463;1.000000;1.000000
445625.23070152;5696599.78149994;472.71064999;217;212;201;54484.000000;1.000000;1.000000;1.000000;1.000000;-0.173251;0.173251;-0.173251;1.000000;1.000000
445625.14100082;5696599.74999817;472.71554996;146;141;130;36237.000000;1.000000;1.000000;1.000000;1.000000;-0.110777;0.110777;-0.110777;1.000000;1.000000
445625.07510193;5696599.74679764;472.71955015;172;163;149;42148.000000;1.000000;1.000000;1.000000;1.000000;-0.083891;0.083891;-0.083891;1.000000;1.000000
445625.11270149;5696599.74799927;472.71665003;145;137;125;35466.000000;1.000000;1.000000;1.000000;1.000000;-0.095181;0.095181;-0.095181;1.000000;1.000000
445625.14790161;5696599.74939926;472.71584990;132;127;117;32639.000000;1.000000;1.000000;1.000000;1.000000;-0.116072;0.116072;-0.116072;1.000000;1.000000
445625.03870209;5696599.70809753;472.71974995;92;85;74;21845.000000;1.000000;1.000000;1.000000;1.000000;0.121902;-0.121902;0.121902;1.000000;1.000000
445625.07920082;5696599.84889801;472.73495008;232;227;221;58339.000000;1.000000;1.000000;1.000000;1.000000;0.024018;-0.024018;0.024018;1.000000;1.000000
445625.04730232;5696599.80969818;472.74004986;208;201;192;51914.000000;1.000000;1.000000;1.000000;1.000000;0.020302;-0.020302;0.020302;1.000000;1.000000
445625.01030167;5696599.73620041;472.73514988;147;137;122;35466.000000;1.000000;1.000000;1.000000;1.000000;0.093800;-0.093800;0.093800;1.000000;1.000000
445625.15440186;5696599.87249954;472.72464993;156;149;139;38293.000000;1.000000;1.000000;1.000000;1.000000;0.099552;-0.099552;0.099552;1.000000;1.000000
445625.11660202;5696599.86889847;472.72524979;213;208;201;53456.000000;1.000000;1.000000;1.000000;1.000000;0.065119;-0.065119;0.065119;1.000000;1.000000
445625.08010109;5696599.83019836;472.73005011;194;187;177;48316.000000;1.000000;1.000000;1.000000;1.000000;0.015725;-0.015725;0.015725;1.000000;1.000000
445625.06810196;5696599.67259796;472.72064974;84;80;70;20560.000000;1.000000;1.000000;1.000000;1.000000;-0.157446;0.157446;-0.157446;1.000000;1.000000
445625.10570152;5696599.67389877;472.71775009;139;134;124;34438.000000;1.000000;1.000000;1.000000;1.000000;-0.161478;0.161478;-0.161478;1.000000;1.000000
445625.07040222;5696599.85890015;472.74394991;218;214;210;54998.000000;1.000000;1.000000;1.000000;1.000000;0.029521;-0.029521;0.029521;1.000000;1.000000
445625.22090157;5696599.82679947;472.71075012;62;57;49;14649.000000;1.000000;1.000000;1.000000;1.000000;-0.156557;0.156557;-0.156557;1.000000;1.000000
445625.25850113;5696599.82799728;472.70785000;207;205;198;52428.000000;1.000000;1.000000;1.000000;1.000000;-0.194134;0.194134;-0.194134;1.000000;1.000000
445625.18480118;5696599.79049881;472.70874979;127;120;108;30840.000000;1.000000;1.000000;1.000000;1.000000;-0.126737;0.126737;-0.126737;1.000000;1.000000
445625.25980194;5696599.79279907;472.70984985;118;116;107;29555.000000;1.000000;1.000000;1.000000;1.000000;-0.198934;0.198934;-0.198934;1.000000;1.000000
445625.15190132;5696599.71409805;472.71094992;152;150;141;38293.000000;1.000000;1.000000;1.000000;1.000000;-0.145237;0.145237;-0.145237;1.000000;1.000000
445625.14340218;5696599.67510040;472.71474983;95;91;82;23387.000000;1.000000;1.000000;1.000000;1.000000;-0.173893;0.173893;-0.173893;1.000000;1.000000
445625.07770164;5696599.86059769;472.74195005;226;220;216;56797.000000;1.000000;1.000000;1.000000;1.000000;0.033373;-0.033373;0.033373;1.000000;1.000000
445625.23040207;5696599.82829865;472.70895006;60;56;49;14392.000000;1.000000;1.000000;1.000000;1.000000;-0.166033;0.166033;-0.166033;1.000000;1.000000
445625.15640076;5696599.78840073;472.71204998;137;131;121;33667.000000;1.000000;1.000000;1.000000;1.000000;-0.100989;0.100989;-0.100989;1.000000;1.000000
445625.19400223;5696599.78959854;472.71145012;99;93;82;23901.000000;1.000000;1.000000;1.000000;1.000000;-0.135775;0.135775;-0.135775;1.000000;1.000000
445625.15990074;5696599.75070007;472.71175005;129;124;112;31868.000000;1.000000;1.000000;1.000000;1.000000;-0.124150;0.124150;-0.124150;1.000000;1.000000
445625.15910156;5696599.74139984;472.71164991;126;121;109;31097.000000;1.000000;1.000000;1.000000;1.000000;-0.129702;0.129702;-0.129702;1.000000;1.000000
445625.23420151;5696599.74379929;472.71035006;148;143;131;36751.000000;1.000000;1.000000;1.000000;1.000000;-0.190449;0.190449;-0.190449;1.000000;1.000000
445625.13410194;5696599.88130005;472.72615005;216;210;202;53970.000000;1.000000;1.000000;1.000000;1.000000;0.086563;-0.086563;0.086563;1.000000;1.000000
445625.05470093;5696599.81149872;472.73574974;198;191;180;49087.000000;1.000000;1.000000;1.000000;1.000000;0.018501;-0.018501;0.018501;1.000000;1.000000
445625.09750183;5696599.84029968;472.72634985;177;169;159;43690.000000;1.000000;1.000000;1.000000;1.000000;0.034689;-0.034689;0.034689;1.000000;1.000000
445625.03470238;5696599.77580078;472.74134972;211;204;191;52428.000000;1.000000;1.000000;1.000000;1.000000;0.054199;-0.054199;0.054199;1.000000;1.000000
445625.22490128;5696599.74469955;472.70994999;168;163;151;41891.000000;1.000000;1.000000;1.000000;1.000000;-0.181780;0.181780;-0.181780;1.000000;1.000000
445625.18880089;5696599.70609863;472.70554974;165;163;154;41634.000000;1.000000;1.000000;1.000000;1.000000;-0.175593;0.175593;-0.175593;1.000000;1.000000
445625.07760246;5696599.67410095;472.71884968;84;80;70;20560.000000;1.000000;1.000000;1.000000;1.000000;-0.156459;0.156459;-0.156459;1.000000;1.000000
445625.11530121;5696599.67529877;472.71584990;124;120;110;30840.000000;1.000000;1.000000;1.000000;1.000000;-0.162867;0.162867;-0.162867;1.000000;1.000000
445625.08100136;5696599.63640030;472.72085001;156;148;136;38293.000000;1.000000;1.000000;1.000000;1.000000;-0.194312;0.194312;-0.194312;1.000000;1.000000
445625.23880203;5696599.81819733;472.70914986;84;79;71;20303.000000;1.000000;1.000000;1.000000;1.000000;-0.174824;0.174824;-0.174824;1.000000;1.000000
445625.24240120;5696599.78269775;472.71124985;201;197;187;50629.000000;1.000000;1.000000;1.000000;1.000000;-0.184201;0.184201;-0.184201;1.000000;1.000000
445625.16840179;5696599.74059875;472.70974972;143;138;126;35466.000000;1.000000;1.000000;1.000000;1.000000;-0.137163;0.137163;-0.137163;1.000000;1.000000
445625.24130066;5696599.74550064;472.71075012;129;125;112;31868.000000;1.000000;1.000000;1.000000;1.000000;-0.196066;0.196066;-0.196066;1.000000;1.000000
445625.16980179;5696599.70540054;472.70935013;176;174;165;44461.000000;1.000000;1.000000;1.000000;1.000000;-0.163216;0.163216;-0.163216;1.000000;1.000000
445625.06330116;5696599.80139740;472.73134996;161;150;137;38807.000000;1.000000;1.000000;1.000000;1.000000;-0.028603;0.028603;-0.028603;1.000000;1.000000
445625.21330078;5696599.77139862;472.71215012;118;111;99;28527.000000;1.000000;1.000000;1.000000;1.000000;-0.160038;0.160038;-0.160038;1.000000;1.000000
445625.10690125;5696599.63640030;472.71735003;122;116;102;29812.000000;1.000000;1.000000;1.000000;1.000000;-0.198215;0.198215;-0.198215;1.000000;1.000000
445625.12200172;5696599.72149857;472.71434977;158;153;144;39321.000000;1.000000;1.000000;1.000000;1.000000;-0.122854;0.122854;-0.122854;1.000000;1.000000
445625.03380211;5696599.79220016;472.74384977;170;162;150;41891.000000;1.000000;1.000000;1.000000;1.000000;0.037800;-0.037800;0.037800;1.000000;1.000000
445625.02860077;5696599.72759827;472.72424986;129;119;106;30840.000000;1.000000;1.000000;1.000000;1.000000;-0.102402;0.102402;-0.102402;1.000000;1.000000
445625.07590111;5696599.75599869;472.71964981;178;169;153;43433.000000;1.000000;1.000000;1.000000;1.000000;-0.074893;0.074893;-0.074893;1.000000;1.000000
445625.03960236;5696599.71729858;472.71994974;102;94;81;24158.000000;1.000000;1.000000;1.000000;1.000000;0.112701;-0.112701;0.112701;1.000000;1.000000
445625.21250160;5696599.76219757;472.70965006;111;104;92;26728.000000;1.000000;1.000000;1.000000;1.000000;-0.162905;0.162905;-0.162905;1.000000;1.000000
445625.21370132;5696599.72469910;472.70924999;150;146;135;37265.000000;1.000000;1.000000;1.000000;1.000000;-0.182718;0.182718;-0.182718;1.000000;1.000000
445625.19670113;5696599.74259766;472.70865013;193;187;175;48059.000000;1.000000;1.000000;1.000000;1.000000;-0.158584;0.158584;-0.158584;1.000000;1.000000
445625.06860168;5696599.65389832;472.72284986;87;82;72;21074.000000;1.000000;1.000000;1.000000;1.000000;-0.176152;0.176152;-0.176152;1.000000;1.000000
445625.17090233;5696599.66789825;472.71124985;83;80;70;20303.000000;1.000000;1.000000;1.000000;1.000000;-0.193970;0.193970;-0.193970;1.000000;1.000000
445625.18270119;5696599.84429749;472.71154978;172;164;154;42405.000000;1.000000;1.000000;1.000000;1.000000;0.119184;-0.119184;0.119184;1.000000;1.000000
445625.18660172;5696599.73430069;472.70814993;169;164;153;42148.000000;1.000000;1.000000;1.000000;1.000000;-0.155233;0.155233;-0.155233;1.000000;1.000000
445625.18200119;5696599.83510025;472.70914986;183;175;166;45232.000000;1.000000;1.000000;1.000000;1.000000;0.117734;-0.117734;0.117734;1.000000;1.000000
445625.11670120;5696599.89689835;472.73024990;220;212;206;54741.000000;1.000000;1.000000;1.000000;1.000000;0.084930;-0.084930;0.084930;1.000000;1.000000
445625.15200241;5696599.89829834;472.72714998;135;125;116;32639.000000;1.000000;1.000000;1.000000;1.000000;0.111098;-0.111098;0.111098;1.000000;1.000000
445625.11580093;5696599.85969742;472.72504999;199;194;187;49858.000000;1.000000;1.000000;1.000000;1.000000;0.059383;-0.059383;0.059383;1.000000;1.000000
445625.08160217;5696599.82079895;472.72774984;161;151;138;39064.000000;1.000000;1.000000;1.000000;1.000000;-0.019528;0.019528;-0.019528;1.000000;1.000000
445625.11720093;5696599.82449921;472.72475006;156;148;137;38293.000000;1.000000;1.000000;1.000000;1.000000;-0.053109;0.053109;-0.053109;1.000000;1.000000
445625.11940201;5696599.79640015;472.71985008;213;206;192;52942.000000;1.000000;1.000000;1.000000;1.000000;-0.064472;0.064472;-0.064472;1.000000;1.000000
445625.07760246;5696599.88629730;472.74464991;179;174;172;44975.000000;1.000000;1.000000;1.000000;1.000000;0.057830;-0.057830;0.057830;1.000000;1.000000
445625.09520157;5696599.89639862;472.73854973;189;182;178;47031.000000;1.000000;1.000000;1.000000;1.000000;0.073205;-0.073205;0.073205;1.000000;1.000000
445625.02990158;5696599.69019897;472.72144987;138;133;124;34181.000000;1.000000;1.000000;1.000000;1.000000;-0.139801;0.139801;-0.139801;1.000000;1.000000
445625.02800186;5696599.78109940;472.74574997;198;190;178;49087.000000;1.000000;1.000000;1.000000;1.000000;-0.048901;0.048901;-0.048901;1.000000;1.000000
445625.15670212;5696599.81640060;472.71245005;106;99;87;25443.000000;1.000000;1.000000;1.000000;1.000000;-0.093321;0.093321;-0.093321;1.000000;1.000000
445625.19200142;5696599.81780060;472.70935013;137;131;122;33667.000000;1.000000;1.000000;1.000000;1.000000;-0.128206;0.128206;-0.128206;1.000000;1.000000
445625.21400078;5696599.75269897;472.70954992;144;138;126;35466.000000;1.000000;1.000000;1.000000;1.000000;-0.168412;0.168412;-0.168412;1.000000;1.000000
445625.21520241;5696599.71520050;472.70924999;130;126;116;32382.000000;1.000000;1.000000;1.000000;1.000000;-0.189544;0.189544;-0.189544;1.000000;1.000000
445625.17420204;5696599.82649811;472.70865013;163;156;146;40349.000000;1.000000;1.000000;1.000000;1.000000;-0.109880;0.109880;-0.109880;1.000000;1.000000
